Product Categorization Tier 1;Product Categorization Tier 2;Product Categorization Tier 3;Product Name;Manufacturer;Model Version
Cloud;Application;Management;CBAM;Nokia;
Cloud;Application;Management;eSight;Huawei;
Cloud;Application;Software;DNS;InfoBlox;
Cloud;Application;Software;CSD;Nokia;
Cloud;Application;Software;STP;Telesys;
Cloud;Infrastructure;Hardware;AirFrame;Nokia;
Cloud;Infrastructure;Hardware;QFX/MX/LX;Juniper;
Cloud;Infrastructure;Hardware;Switch;Dell;
Cloud;Infrastructure;Hardware;CB;Dell;
Cloud;Infrastructure;SDN;vNetguard;Nokia;
Cloud;Infrastructure;SDN;Nuage-WBX;Nokia;
Cloud;Infrastructure;SDN;vRR;Nokia;
Cloud;Infrastructure;SDN;vLB;Nokia;
Cloud;Infrastructure;Software;CBIS;Nokia;
Cloud;Management;Orchestrator;CBND;Nokia;
FAIP;Fixed Access;DSLAM;Conklin FASTmux2000;Conklin Corporation;
FAIP;Fixed Access;DSLAM;7300 ASAM;Alcatel-Lucent;
FAIP;Fixed Access;DSLAM;7367 ISAM SX/DX;Alcatel-Lucent;7367 ISAM SX DSL
FAIP;Fixed Access;DSLAM;7330 ISAM;Alcatel-Lucent;7330 ISAM FTTN
FAIP;Fixed Access;DSLAM;7302 ISAM;Alcatel-Lucent;7302 ISAM OLT
FAIP;Fixed Access;DSLAM;7302 ISAM;Alcatel-Lucent;7302 ISAM-XD DSL
FAIP;Fixed Access;DSLAM;7302 ISAM;Alcatel-Lucent;7302 ISAM-FD DSL
FAIP;Fixed Access;DSLAM;7360 ISAM FX;Alcatel-Lucent;7360 ISAM FX-8 GPON
FAIP;Fixed Access;DSLAM;7360 ISAM FX;Alcatel-Lucent;7360 ISAM FX-12 GPON
FAIP;Fixed Access;DSLAM;7362 ISAM DF;Alcatel-Lucent;7362 ISAM DF-16GW
FAIP;Fixed Access;DSLAM;7360 ISAM FX;Alcatel-Lucent;7360 ISAM FX-16 GPON
FAIP;Fixed Access;DSLAM;7362 ISAM DF-16GW;Alcatel-Lucent;
FAIP;Fixed Access;DSLAM;7360 ISAM FX;Alcatel-Lucent;7360 ISAM FX-4 GPON
FAIP;Fixed Access;DSLAM;7340 FTTU;Alcatel-Lucent;
FAIP;Fixed Access;Grooming Mux;CPSMC1800;Transition Networks;
FAIP;Fixed Access;Multi Access Radio;SR 500-IP;SR Telecom;Terminal Station
FAIP;Fixed Access;Multi Access Radio;IRT2000;Alcatel-Lucent;Repeater Station
FAIP;Fixed Access;Multi Access Radio;IRT2000;Alcatel-Lucent;Terminal Station
FAIP;Fixed Access;Multi Access Radio;IRT1500;Alcatel-Lucent;Terminal Station
FAIP;Fixed Access;Multi Access Radio;SR 500-IP;SR Telecom;Central Station
FAIP;Fixed Access;Multi Access Radio;IRT1500;Alcatel-Lucent;Repeater Station
FAIP;Fixed Access;Multi Access Radio;IRT2000G;Alcatel-Lucent;Central Station
FAIP;Fixed Access;Multi Access Radio;IRT2000G;Alcatel-Lucent;Terminal Station
FAIP;Fixed Access;Multi Access Radio;IRT2000G;Alcatel-Lucent;Repeater Station
FAIP;Fixed Access;Multi Access Radio;IRT2000;Alcatel-Lucent;Central Station
FAIP;Fixed Access;Multi Access Radio;SR 500-IP;SR Telecom;Repeater Station
FAIP;Fixed Access;Multi Access Radio;IRT1500;Alcatel-Lucent;Central Station
FAIP;Fixed Access;Splitter;Splitter Level 1;generic;
FAIP;Fixed Access;Splitter;Splitter Level 2;generic;
FAIP;Fixed Access;Switch;Eclipse INU;Aviat;
FAIP;Fixed Access;Switch;Catalyst 3850 Series;Cisco Systems Inc;
FAIP;Fixed Access;Switch;LAN Switch (WAN);generic;
FAIP;Fixed Access;Switch;LAN Switch (Server);generic;
FAIP;Fixed Access;xDSL;ML600;Actelis;ML658
FAIP;Fixed Access;xDSL;ML600;Actelis;ML658S
FAIP;Fixed Access;xDSL;ML600;Actelis;ML628
FAIP;IP Backhaul;Router;ZXCTN 6150;ZTE;
FAIP;IP Backhaul;Router;ZXCTN 9000;ZTE;ZXCTN 9000-2E4
FAIP;IP Backhaul;Router;ZXCTN 9000;ZTE;ZXCTN 9000-5E
FAIP;IP Backhaul;Router;ZXCTN 9000;ZTE;ZXCTN 9000-3E
FAIP;IP Backhaul;Switch;ZXCTN 6200;ZTE;
FAIP;IP Backhaul;Switch;7210 SAS;Alcatel-Lucent;7210 SAS-R6
FAIP;IP Backhaul;Switch;7210 SAS;Alcatel-Lucent;7210 SAS-T
FAIP;IP Backhaul;Switch;7210 SAS;Alcatel-Lucent;7210 SAS-R-E
FAIP;IP Backhaul;Switch;7210 SAS;Alcatel-Lucent;7210 SAS-M
FAIP;IP Backhaul;Switch;7210 SAS;Alcatel-Lucent;7210 SAS-E
FAIP;IP Backhaul;Switch;7210 SAS;Alcatel-Lucent;7210 SAS-D
FAIP;IP Backhaul;Switch;7210 SAS;Alcatel-Lucent;7210 SAS-Mxp
FAIP;IP Backhaul;Switch;7210 SAS;Alcatel-Lucent;7210 SAS-K
FAIP;IP Backhaul;Switch;ZXCTN 9004;ZTE;
FAIP;IP Backhaul;Switch;Dell-switch;Dell;
FAIP;IP Backhaul;Switch;Dell Z9100;Dell;
FAIP;IP Backhaul;Switch;Dell 4048;Dell;
FAIP;IP Backhaul;Switch;ZXCTN 9008;ZTE;
FAIP;IP Backhaul;Switch;S3048;Dell;
FAIP;IP Backhaul;Switch;ZXCTN 6110;ZTE;
FAIP;IP Backhaul;Switch;ETM;ZTE;
FAIP;IP Backhaul;Switch;ZXCTN 6300;ZTE;
FAIP;IP Core Backbone;Core Router;Cisco ASR 9000 Series;Cisco Systems Inc;
FAIP;IP Core Backbone;Core Router;Cisco ASR 1000 Series;Cisco Systems Inc;
FAIP;IP Core Backbone;Core Router;ZXR10 T8000;ZTE;ZXR10 T8000-16
FAIP;IP Core Backbone;Core Router;ZXR10 M6000;ZTE;ZXR10 M6000-18S
FAIP;IP Core Backbone;Core Router;ZXR10 M6000;ZTE;ZXR10 M6000-8
FAIP;IP Core Backbone;Core Router;ZXR10 M6000;ZTE;ZXR10 M6000-8S Plus
FAIP;IP Core Backbone;Core Router;Cisco 2800 Series;Cisco Systems Inc;2800
FAIP;IP Core Backbone;Core Router;Cisco 2800 Series;Cisco Systems Inc;2921
FAIP;IP Core Backbone;Core Router;7450 ESS;Alcatel-Lucent;7450 ESS-7
FAIP;IP Core Backbone;Core Router;7450 ESS;Alcatel-Lucent;7450 ESS-1
FAIP;IP Core Backbone;Core Router;7450 ESS;Alcatel-Lucent;7450 ESS-12
FAIP;IP Core Backbone;Core Router;7710 SR;Alcatel-Lucent;
FAIP;IP Core Backbone;Core Router;Cisco 7200 Series;Cisco Systems Inc;
FAIP;IP Core Backbone;Core Router;Cisco CRS Series 4;Cisco Systems Inc;
FAIP;IP Core Backbone;Core Router;Cisco 7600 Series;Cisco Systems Inc;
FAIP;IP Core Backbone;Core Router;Cisco ASR 900 Series;Cisco Systems Inc;
FAIP;IP Core Backbone;Core Router;7950 XRS;Alcatel-Lucent;7950 XRS-20
FAIP;IP Core Backbone;Core Router;Cisco ME 3400 Series;Cisco Systems Inc;ME 3400-24TS-D
FAIP;IP Core Backbone;Core Router;Cisco 800 Series;Cisco Systems Inc;
FAIP;IP Core Backbone;Core Router;Cisco xxxx Series;Cisco Systems Inc;
FAIP;IP Core Backbone;Core Router;7750 SR;Alcatel-Lucent;7750 SR-a8
FAIP;IP Core Backbone;Core Router;7750 SR;Alcatel-Lucent;7750 SR-12e
FAIP;IP Core Backbone;Core Router;7750 SR;Alcatel-Lucent;7750 SR-1
FAIP;IP Core Backbone;Core Router;7750 SR;Alcatel-Lucent;7750 SR-a4
FAIP;IP Core Backbone;Core Router;7750 SR;Alcatel-Lucent;7750 SR-7
FAIP;IP Core Backbone;Core Router;7750 SR;Alcatel-Lucent;7750 SR-12
FAIP;IP Core Backbone;Core Router;7750 SR;Alcatel-Lucent;7750 SR-3e
FAIP;IP Core Backbone;Core Router;7750 SR;Alcatel-Lucent;7750 SR-c12
FAIP;IP Core Backbone;Core Router;7750 SR;Alcatel-Lucent;7750 SR-2e
FAIP;IP Core Backbone;Core Router;Cisco 1800 Series;Cisco Systems Inc;1841
FAIP;IP Core Backbone;Core Router;7705 SAR;Alcatel-Lucent;7705 SAR-F
FAIP;IP Core Backbone;Core Router;7705 SAR;Alcatel-Lucent;7705 SAR-8
FAIP;IP Core Backbone;Core Router;7705 SAR;Alcatel-Lucent;7705 SAR-18
FAIP;IP Core Backbone;Core Router;7705 SAR;Alcatel-Lucent;7705 SAR-A
FAIP;IP Core Backbone;Core Router;7705 SAR;Alcatel-Lucent;7705 SAR-X
FAIP;IP Core Backbone;Core Router;Cisco 2800 Series;Cisco Systems Inc;2821
FAIP;IP Core Backbone;DPI Platform;PL10000;Procera Networks;
FAIP;IP Core Backbone;DPI Platform;PL1000 Series;Procera Networks;
FAIP;IP Core Backbone;DPI Platform;Procera PacketLogic;Procera Networks;
FAIP;IP Core Backbone;DPI Platform;PL20000 Series;Procera Networks;
FAIP;IP Core Backbone;Load Balancer, WAN Optimization, Terminal Server;AX 3000;A10 Networks;
FAIP;IP Core Backbone;Load Balancer, WAN Optimization, Terminal Server;AX 5200;A10 Networks;
FAIP;IP Core Backbone;Load Balancer, WAN Optimization, Terminal Server;F5 BIG-IP LoadBalancer 520;F5 Networks;
FAIP;IP Core Backbone;Load Balancer, WAN Optimization, Terminal Server;Radware Loadbalancer;Radware Ltd;
FAIP;IP Core Backbone;Load Balancer, WAN Optimization, Terminal Server;Cisco ACE;Cisco Systems Inc;
FAIP;IP Core Backbone;Router;Cisco 3900 Series;Cisco Systems Inc;
FAIP;IP Core Backbone;Router;Cisco Nexus 9000 Series;Cisco Systems Inc;
FAIP;IP Core Backbone;Router;Juniper J 2320 Series;Juniper Networks Inc.;
FAIP;IP Core Backbone;Router;MSR3024;Hewlett Packard;
FAIP;IP Core Backbone;Router;Juniper MX Series;Juniper Networks Inc.;
FAIP;IP Core Backbone;Router;Cisco ASA 5585-X;Cisco Systems Inc;
FAIP;IP Core Backbone;Switch;ZXR10 8908;ZTE;ZXR10 8908E-H
FAIP;IP Core Backbone;Switch;ZXR10 8908;ZTE;ZXR10 8908E
FAIP;IP Core Backbone;Switch;HP 5510;Hewlett Packard;
FAIP;IP Core Backbone;Switch;Cisco 3800 Series;Cisco Systems Inc;
FAIP;IP Core Backbone;Switch;Cisco 2600 Series;Cisco Systems Inc;
FAIP;IP Core Backbone;Switch;ZXR10 5928;ZTE;ZXR10 5928E(V2)
FAIP;IP Core Backbone;Switch;Aruba 2530;Hewlett Packard;
FAIP;IP Core Backbone;Switch;ZXR10 8905;ZTE;ZXR10 8905E
FAIP;IP Core Backbone;Switch;ZXR10 8905;ZTE;ZXR10 8905
FAIP;IP Core Backbone;Switch;ZXR10 5952;ZTE;ZXR10 5952E(V2)
FAIP;IP Core Backbone;Switch;ZXR10 5952;ZTE;ZXR10 5952E
FAIP;IP Core Backbone;Switch;S2300;Huawei;
FAIP;IP Core Backbone;Switch;S5300;Huawei;
FAIP;IP Core Backbone;Switch;HP 5930;Hewlett Packard;
FAIP;IP Core Backbone;Switch;Catalyst 3560 Series;Cisco Systems Inc;
FAIP;IP Core Backbone;Switch;CE12800;Huawei;
FAIP;IP Core Backbone;Switch;MRV-Switch;MRV;
FAIP;IP Core Backbone;Switch;Radware DefensePro 30420;Radware Ltd;
FAIP;IP Core Backbone;Switch;Radware x420 Series;Radware Ltd;
FAIP;IP Core Backbone;Switch;Cisco 3700 Series;Cisco Systems Inc;Catalyst 3750
FAIP;IP Core Backbone;Switch;Cisco 3700 Series;Cisco Systems Inc;3750
FAIP;IP Core Backbone;Switch;Catalyst 2960-S Series;Cisco Systems Inc;
FAIP;IP Core Backbone;Switch;7150 Series;Arista;
FAIP;IP Core Backbone;Switch;Catalyst 4900 Series;Cisco Systems Inc;
FAIP;IP Core Backbone;Switch;Catalyst 3750 Series;Cisco Systems Inc;
FAIP;IP Core Backbone;Switch;Catalyst 6500 Series;Cisco Systems Inc;
FAIP;IP Core Backbone;Switch;Silicom DDOS Switch IBS10G;Silicom;
FAIP;IP Core Backbone;Switch;Juniper EX Series;Juniper Networks Inc.;EX9200
FAIP;IP Core Backbone;Switch;Juniper EX Series;Juniper Networks Inc.;EX9100
FAIP;IP Core Backbone;Switch;Juniper EX Series;Juniper Networks Inc.;EX4500
FAIP;IP Core Backbone;Switch;Juniper EX Series;Juniper Networks Inc.;EX4300
FAIP;IP Core Backbone;Switch;Catalyst 4500 Series;Cisco Systems Inc;
FAIP;IP Core Backbone;TAP;Net Optics iLink;Net Optics;LA-2415-DC
FAIP;IP Core Backbone;TAP;Net Optics iLink;Net Optics;LA-2408-DC
FAIP;IP Core Backbone;TAP;Net Optics Span Regen Tap;Net Optics;
FAIP;IP Core Backbone;Wireless LAN Controllers;Cisco Wireless LAN Controllers;Cisco Systems Inc;
FAIP;IP Security;DDOS;Arbor Peakflow;Arbor;
FAIP;IP Security;Firewall;PA-5220;Palo Alto;
FAIP;IP Security;Firewall;PA-220;Palo Alto;
FAIP;IP Security;Firewall;Cisco ASA 5500 Series;Cisco Systems Inc;
FAIP;IP Security;Firewall;Check Point IP Appliances;Check Point;
FAIP;IP Security;Firewall;Fortinet FortiGate;Fortinet Inc.;FortiGate-400D
FAIP;IP Security;Firewall;Fortinet FortiGate;Fortinet Inc.;FortiGate-1000C
FAIP;IP Security;Firewall;Fortinet FortiGate;Fortinet Inc.;FortiGate-200D
FAIP;IP Security;Firewall;Fortinet FortiGate;Fortinet Inc.;FortiGate-310B
FAIP;IP Security;Firewall;Fortinet FortiGate;Fortinet Inc.;FortiGate-300C
FAIP;IP Security;Firewall;Fortinet FortiGate;Fortinet Inc.;FortiGate-60D
FAIP;IP Security;Firewall;Fortinet FortiGate;Fortinet Inc.;FortiGate-620B
FAIP;IP Security;Firewall;Firewall;generic;
FAIP;IP Security;Firewall;LSMS;Alcatel-Lucent;
FAIP;IP Security;Firewall;Fortinet FortiMail;Fortinet Inc.;Fortimail-100C
FAIP;IP Security;Firewall;Juniper NetScreen;Juniper Networks Inc.;NetScreen-500
FAIP;IP Security;Firewall;Juniper SRX Series;Juniper Networks Inc.;SRX650
FAIP;IP Security;Firewall;SN310;Stormshield;SN310
FAIP;IP Security;Firewall;VPN Firewall Brick;Alcatel-Lucent;
FAIP;IP Security;Firewall;Acme Packet Net-Net 9000;Acme Packet;Net-Net 9200
FAIP;IP Security;Firewall;Fortinet FortiCarrier;Fortinet Inc.;FortiCarrier-3950B
FAIP;IP Security;IP Sec Switch;OmniSwitch 6450;Alcatel-Lucent;
FAIP;IP Security;IP Sec Switch;OmniSwitch 6850;Alcatel-Lucent;OmniSwitch 6850-48
FAIP;IP Security;IP Sec Switch;OmniSwitch 10K;Alcatel-Lucent;
FAIP;IP Security;IP Sec Switch;OmniSwitch 6600;Alcatel-Lucent;
FAIP;IP Security;IP Sec Switch;OmniStack 6200;Alcatel-Lucent;OmniStack 6224
FAIP;IP Security;IP Sec Switch;OmniSwitch 6850E;Alcatel-Lucent;
FAIP;IP Security;IP Sec Switch;OmniSwitch 6250;Alcatel-Lucent;
FAIP;IP Security;IP Sec Switch;OmniStack 6200;Alcatel-Lucent;OmniStack 6212
FAIP;IP Security;IP Sec Switch;F5 BIG-IP Application Switches;F5 Networks;
FAIP;IP Security;IP Sec Switch;OmniSwitch 6855;Alcatel-Lucent;
FAIP;IP Security;IPSec;Fortinet FortiAnalyzer;Fortinet Inc.;
FAIP;IP Security;IPSec;Fortinet FortiManager;Fortinet Inc.;FortiManager-100
FAIP;IP Security;IPSec;Blue Coat Director;Blue Coat Systems;
FAIP;IP Security;IPSec;Fortinet FortiWeb;Fortinet Inc.;FortiWeb-1000C
FAIP;IP Security;Load Balancer, WAN Optimization, Terminal Server;Cisco CSS 11500 Series;Cisco Systems Inc;
FAIP;IP Security;Load Balancer, WAN Optimization, Terminal Server;Cisco Content Services Gateway;Cisco Systems Inc;
FAIP;IP Security;Load Balancer, WAN Optimization, Terminal Server;F5-VIPRION;F5 Networks;
FAIP;IP Security;Load Balancer, WAN Optimization, Terminal Server;F5 VIPRION;F5 Networks;
FAIP;IP Security;Proxy;Radware AppDirector;Radware Ltd;AppDirector_100
FAIP;IP Security;Proxy;Blue Coat ProxySG;Blue Coat Systems;SG9000-20
FAIP;IP Security;Proxy;Blue Coat ProxySG;Blue Coat Systems;ProxySG 9000
FAIP;IP Security;Proxy;Net Optics Director;Net Optics;DIR5400DC
FAIP;IP Security;Security;Security Service Stoke;Stroke;
Hardware;Processing Unit;Server-Critical;Server-Critical;Nokia;
Infrastructure;Access;Access Control;;;
Infrastructure;Fuel;Fuel;;;
Infrastructure;HAVAC;Heating, Ventilation, Airconditioning;;;
Infrastructure;Power Supply;Power Supply;;;
Multicore;Converged Core;Border Controller;;;
Multicore;Converged Core;HSS, Services;8650 SDM Expert;Alcatel-Lucent;
Multicore;Converged Core;HSS, Services;NLS;Nokia;
Multicore;Converged Core;HSS, Services;NCM;Nokia;
Multicore;Converged Core;HSS, Services;HSM;Ultimaco;
Multicore;Converged Core;HSS, Services;FlowOne;Nokia;
Multicore;Converged Core;HSS, Services;HSS-ZTE;ZTE;
Multicore;Converged Core;HSS, Services;CGNAT;Nokia;
Multicore;Converged Core;HSS, Services;SPR;ZTE;
Multicore;Converged Core;HSS, Services;AAA;Nokia;
Multicore;Converged Core;HSS, Services;CMS 8200;Nokia;
Multicore;Converged Core;HSS, Services;HSS-FE;Nokia;
Multicore;Converged Core;HSS, Services;SDM;Nokia;
Multicore;Converged Core;HSS, Services;HSS-Huawei;Huawei;
Multicore;Converged Core;HSS, Services;HSS-Ericsson;Ericsson;
Multicore;Converged Core;HSS, Services;8650 SDM;Alcatel-Lucent;8650 SDM HLR
Multicore;Converged Core;HSS, Services;8650 SDM;Alcatel-Lucent;8650 SDM HSS
Multicore;Converged Core;HSS, Services;vHSS;Nokia;
Multicore;Converged Core;IMEIDB;IMEIDB;Nokia;
Multicore;Converged Core;MNP;MNP MS/SM;Nokia;
Multicore;Converged Core;MNP;MNP FE;Nokia;
Multicore;Converged Core;Mediation;EventLink;Comptel;
Multicore;Converged Core;NGN/IMS/MGW;5410 PS;Alcatel-Lucent;
Multicore;Converged Core;NGN/IMS/MGW;5430 MMIM;Alcatel-Lucent;
Multicore;Converged Core;NGN/IMS/MGW;7510 MGW;Alcatel-Lucent;
Multicore;Converged Core;NGN/IMS/MGW;BroadWorks;BroadSoft;
Multicore;Converged Core;NGN/IMS/MGW;BroadWorks Media Server;BroadSoft;
Multicore;Converged Core;NGN/IMS/MGW;MGW-Huawei;Huawei;
Multicore;Converged Core;NGN/IMS/MGW;MGCF;Ribbon;
Multicore;Converged Core;NGN/IMS/MGW;MGW-ZTE;ZTE;
Multicore;Converged Core;NGN/IMS/MGW;GMV3;Ericsson;
Multicore;Converged Core;NGN/IMS/MGW;iNUM;Nokia;
Multicore;Converged Core;NGN/IMS/MGW;GMV4;Ericsson;
Multicore;Converged Core;NGN/IMS/MGW;One-EIR;Nokia;
Multicore;Converged Core;NGN/IMS/MGW;MGW;Nokia;
Multicore;Converged Core;NGN/IMS/MGW;IMSHW;Nokia;
Multicore;Converged Core;NGN/IMS/MGW;OMGW;Nokia;
Multicore;Converged Core;NGN/IMS/MGW;One-NDS;Nokia;
Multicore;Converged Core;NGN/IMS/MGW;CDS;Nokia;
Multicore;Converged Core;NGN/IMS/MGW;5420 SCG;Alcatel-Lucent;
Multicore;Converged Core;NGN/IMS/MGW;5900 PRBT;Alcatel-Lucent;
Multicore;Converged Core;NGN/IMS/MGW;5420 CTS;Alcatel-Lucent;
Multicore;Converged Core;NGN/IMS/MGW;7540 WMG;Alcatel-Lucent;
Multicore;Converged Core;NGN/IMS/MGW;MGW-Ericsson;Ericsson;
Multicore;Converged Core;NGN/IMS/MGW;5420 PCM;Alcatel-Lucent;
Multicore;Converged Core;NGN/IMS/MGW;Acme Packet Net-Net 4000;Acme Packet;Net-Net 4500
Multicore;Converged Core;NGN/IMS/MGW;MiLife eVPN;Alcatel-Lucent;
Multicore;Converged Core;NGN/IMS/MGW;5900 MRF;Alcatel-Lucent;
Multicore;Converged Core;NGN/IMS/MGW;ATCA-V2;Alcatel-Lucent;
Multicore;Converged Core;NGN/IMS/MGW;BroadWorks Network Server;BroadSoft;
Multicore;Converged Core;NGN/IMS/MGW;7549 MGW;Alcatel-Lucent;
Multicore;Converged Core;NGN/IMS/MGW;5060 ICS;Alcatel-Lucent;
Multicore;Converged Core;NGN/IMS/MGW;BroadWorks Profile Server;BroadSoft;
Multicore;Converged Core;NGN/IMS/MGW;5450 ISC;Alcatel-Lucent;ATCA
Multicore;Converged Core;NGN/IMS/MGW;1342 QoSAC;Alcatel-Lucent;
Multicore;Converged Core;NGN/IMS/MGW;5060 MGC-8;Alcatel-Lucent;
Multicore;Converged Core;NGN/IMS/MGW;5020 IWF;Alcatel-Lucent;
Multicore;Converged Core;NGN/IMS/MGW;5410 XDMS;Alcatel-Lucent;
Multicore;Converged Core;NGN/IMS/MGW;BroadWorks Application Server;BroadSoft;
Multicore;Converged Core;NGN/IMS/MGW;BroadWorks EMS;BroadSoft;
Multicore;Converged Core;NGN/IMS/MGW;BroadWorks Web Server;BroadSoft;
Multicore;Converged Core;NGN/IMS/MGW;5060 IBC-4;Alcatel-Lucent;
Multicore;Converged Core;NGN/IMS/MGW;8615 IeCCF;Alcatel-Lucent;
Multicore;Converged Core;OCS;Avantel Equipment;Nokia;
Multicore;Converged Core;VoLTE;NetNumber;Nokia;
Multicore;Converged Core;VoLTE;EMS;Nokia;
Multicore;Converged Core;VoLTE;PSX;Ribbon;
Multicore;Converged Core;VoLTE;CM-Repository;Nokia;
Multicore;Converged Core;VoLTE;CFX-5000;Nokia;
Multicore;Converged Core;VoLTE;OTAS;Nokia;
Multicore;Converged Core;VoLTE;OBGW;Nokia;
Multicore;Converged Core;VoLTE;DRA;Nokia;
Multicore;Packet Core;CACHE;ICACHE-ZTE;ZTE;
Multicore;Packet Core;CACHE;ICACHE-Huawei;Huawei;
Multicore;Packet Core;CG;CG-ZTE;ZTE;
